artikelnummer	de	en	fr
AQ287P25	Überspringbogen d25 mm	Cross over d25 mm	Raccord transversal d25 mm
AQ287P32	Überspringbogen d32 mm	Cross over d32 mm	Raccord transversal d32 mm
AQ301P125	Kappe d125 mm	Cap d125 mm	Bouchon d125 mm
AQ301P160	Kappe (SDR 11) d160 mm	Cap d160 mm (SDR 11)	Bouchon d160 mm (SDR 11)
AQ301P20	Kappe d20 mm	Cap d20 mm	Bouchon d20 mm
AQ301P200	Kappe (SDR 11) d200 mm	Cap d200 mm (SDR 11)	Bouchon d200 mm (SDR 11)
AQ301P25	Kappe d25 mm	Cap d25 mm	Bouchon d25 mm
AQ301P250	Kappe (SDR 11) d250 mm	Cap d250 mm (SDR 11)	Bouchon d250 mm (SDR 11)
AQ301P315	Kappe (SDR 11) d315 mm	Cap d315 mm (SDR 11)	Bouchon d315 mm (SDR 11)
AQ301P32	Kappe d32 mm	Cap d32 mm	Bouchon d32 mm
AQ301P40	Kappe d40 mm	Cap d40 mm	Bouchon d40 mm
AQ301P50	Kappe d50 mm	Cap d50 mm	Bouchon d50 mm
AQ301P63	Kappe d63 mm	Cap d63 mm	Bouchon d63 mm
AQ301P75	Kappe d75 mm	Cap d75 mm	Bouchon d75 mm
AQ301P90	Kappe d90 mm	Cap d90 mm	Bouchon d90 mm
AQ330AP20	Verschraubung d20 mm PP	Union d20 mm PP	Raccord union d20 mm PP
AQ330AP25	Verschraubung d25 mm PP	Union d25 mm PP	Raccord union d25 mm PP
AQ330AP32	Verschraubung d32 mm PP	Union d32 mm PP	Raccord union d32 mm PP
AQ330AP40	Verschraubung d40 mm PP	Union d40 mm PP	Raccord union d40 mm PP
AQ330AP50	Verschraubung d50 mm PP	Union d50 mm PP	Raccord union d50 mm PP
AQ330AP63	Verschraubung d63 mm PP	Union d63 mm PP	Raccord union d63 mm PP
AQ332P2012	Verschraubung IG d20-1/2"	Union socket "f" d20-1/2"	Raccord union (filetage femelle) d20-1/2"
AQ332P2034	Verschraubung IG d20-3/4"	Union socket "f" d20-3/4"	Raccord union (filetage femelle) d20-3/4"
AQ332P2534	Verschraubung IG d25-3/4"	Union socket "f" d25-3/4"	Raccord union (filetage femelle) d25-3/4"
AQ472GP2012	Wandscheibe 90° IG d20-1/2"	Wall bracket 90° "f" d20-1/2"	Coude/Support mural 90° (filetage femelle) d20-1/2"
AQ472GP2512	Wandscheibe 90° IG d25-1/2"	Wall bracket 90° "f" d25-1/2"	Coude/Support mural 90° (filetage femelle) d25-1/2"
AQ472GP2534	Winkel/Wandscheibe 90° IG d25-3/4"	Wall bracket 90° "f" d25-3/4"	Coude/Support mural 90° (filetage femelle) d25-3/4"
AQ472GP321	Winkel/Wandscheibe 90° IG d32-1"	Wall bracket 90° "f" d32-1" 	Coude/Support mural 90° (filetage femelle) d32-1" 
AQ472GP3234	Winkel/Wandscheibe 90° IG d32-3/4"	Wall bracket 90° "f" d32-3/4"	Coude/Support mural 90° (filetage femelle) d32-3/4"
AQ490GP2012	Montageeinheit PP-R IG d20-1/2"	Wall plate PP-R "f" d20-1/2"	Applique murale PP-R (filetage femelle) d20-1/2"
AQ490GP2512	Montageeinheit PP-R IG d25-1/2"	Wall plate PP-R "f" d25-1/2"	Applique murale PP-R (filetage femelle) d25-1/2"
AQ492GP2012	Montagegruppe PP-R IG d20-1/2"	Double wall plate PP-R "f" d20-1/2"	Double applique murale PP-R (filetage femelle) d20-1/2"
AQ492GP2512	Montagegruppe PP-R IG d25-1/2"	Double wall plate PP-R "f" d25-1/2"	Double applique murale PP-R (filetage femelle) d25-1/2"
AQ532P20	Metallverschraubung mit PP-R ELT IG d20 mm unvern.	Metal union (CW617N) with PP-R socket "f" d20 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d20 mm
AQ532P25	Metallverschraubung mit PP-R ELT IG d25 mm unvern.	Metal union (CW617N) with PP-R socket "f" d25 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d25 mm
AQ532P32	Metallverschraubung mit PP-R ELT IG d32 mm unvern.	Metal union (CW617N) with PP-R socket "f" d32 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d32 mm
AQ532P40	Metallverschraubung mit PP-R ELT IG d40 mm unvern.	Metal union (CW617N) with PP-R socket "f" d40 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d40 mm
AQ532P50	Metallverschraubung mit PP-R ELT IG d50 mm unvern.	Metal union  (CW617N) with PP-R socket "f" d50 mm 	Raccord union métal  (CW617N) avec emboîture PP-R (filetage femelle) d50 mm 
AQ532P63	Metallverschraubung mit PP-R ELT IG d63 mm unvern.	Metal union  (CW617N) with PP-R socket "f" d63 mm 	Raccord union métal  (CW617N) avec emboîture PP-R (filetage femelle) d63 mm 
AQ537P20	Metallverschraubung mit PP-R ELT AG d20 mm unvern.	Metal union (CW617N) with PP-R socket "m" d20 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d20 mm
AQ537P25	Metallverschraubung mit PP-R ELT AG d25 mm unvern.	Metal union (CW617N) with PP-R socket "m" d25 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d25 mm
AQ537P32	Metallverschraubung mit PP-R ELT AG d32 mm unvern.	Metal union (CW617N) with PP-R socket "m" d32 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d32 mm
AQ537P40	Metallverschraubung mit PP-R ELT AG d40 mm unvern.	Metal union (CW617N) with PP-R socket "m" d40 mm	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d40 mm
AQ537P50	Metallverschraubung mit PP-R ELT AG d50 mm unvern.	Metal union with PP-R socket "m" d50 mm 	Raccord union métal avec emboîture PP-R (filetage mâle) d50 mm 
AQ537P63	Metallverschraubung mit PP-R ELT AG d63 mm unvern.	Metal union with PP-R socket "m" d63 mm	Raccord union métal avec emboîture PP-R (filetage mâle) d63 mm
AQ593P11	Reparaturstopfen d11 mm	Repair plug d11 mm	Bouchon de réparation d11 mm
AQ593P7	Reparaturstopfen d7 mm	Repair plug d7 mm	Bouchon de réparation d7 mm
AQ593P711	Reparaturstopfen d7 mm + d11 mm	Repairing plug 7 mm/11 mm	Bouchon de réparation 7 mm/11mm
AQ599AP2034	Ventil-Unterteil IG d20-3/4"	Tee 90° "f" for internal valve d20-3/4"	Té 90° (filetage femelle) pour vanne encastrée d20-3/4"
AQ599AP2534	Ventil-Unterteil IG d25-3/4"	Tee 90° "f" for internal valve d25-3/4"	Té 90° (filetage femelle) pour vanne encastrée d25-3/4"
AQ599AP3234	Ventil-Unterteil IG d32-3/4"	Tee 90° "f" for internal valve d32-3/4"	Té 90° (filetage femelle) pour vanne encastrée d32-3/4"
AQ700P2012	Schrägsitzventil IG d20-1/2"	Angle seat valve "f" d20-1/2"	Vanne à siège incliné (filetage femelle) d20-1/2"
AQ700P2534	Schrägsitzventil IG d25-3/4"	Angle seat valve "f" d25-3/4"	Vanne à siège incliné (filetage femelle) d25-3/4"
AQ700P3234	Schrägsitzventil IG d32-3/4"	Angle seat valve "f" d32-3/4"	Vanne à siège incliné (filetage femelle) d32-3/4"
AQ790P110	Bundbuchse d110 mm	Flange adaptor d110 mm	Raccord à bride d110 mm
AQ790P125	Bundbuchse d125 mm	Flange adaptor d125 mm	Raccord à bride d125 mm
AQ790P160	V-Bund (SDR 11) d160 mm	Flange adaptor d160 mm (SDR 11)	Raccord à bride d160 mm (SDR 11)
AQ790P200	V-Bund (SDR 11) d200 mm	Flange adaptor d200 mm (SDR 11)	Raccord à bride d200 mm (SDR 11)
AQ790P25	Bundbuchse d25 mm	Flange adaptor d25 mm	Collet à bride d25 mm
AQ790P250	V-Bund (SDR 11) d250 mm	Flange adaptor d250 mm (SDR 11)	Raccord à bride d250 mm (SDR 11)
AQ790P315	V-Bund (SDR 11) d315 mm	Flange adaptor d315 mm (SDR 11)	Raccord à bride d315 mm (SDR 11)
AQ790P32	Bundbuchse d32 mm	Flange adaptor d32 mm	Collet à bride d32 mm
AQ790P40	Bundbuchse d40 mm	Flange adaptor d40 mm	Raccord à bride d40 mm
AQ790P50	Bundbuchse d50 mm	Flange adaptor d50 mm	Raccord à bride d50 mm
AQ790P63	Bundbuchse d63 mm	Flange adaptor d63 mm	Raccord à bride d63 mm
AQ790P75	Bundbuchse d75 mm	Flange adaptor d75 mm	Raccord à bride d75 mm
AQ790P90	Bundbuchse d90 mm	Flange adaptor d90 mm	Raccord à bride d90 mm
AQ909P12	Abpresszapfen 1/2	Pressure test plug 1/2"	Bouchon d'essai de pression 1/2"
BH045P20	Winkel 45° d20 mm	Elbow 45° d20 mm	Coude 45° d20 mm
BL041P20	Winkel 45° I/A d20 mm blau	Elbow 45° m/f d20 mm blue	Coude 45° (femelle/mâle) d20 mm bleu
BL041P25	Winkel 45° I/A d25 mm blau	Elbow 45° m/f d25 mm blue	Coude 45° (femelle/mâle) d25 mm bleu
BL045P110	Winkel 45° d110 mm blau	Elbow 45° d110 mm blue	Coude 45° d110 mm bleu
BL045P20	Winkel 45° d20 mm blau	Elbow 45° d20 mm blue	Coude 45° dd20 mm bleu
BL045P25	Winkel 45° d25 mm blau	Elbow 45° d25 mm blue	Coude 45° d25 mm bleu
BL045P32	Winkel 45° d32 mm blau	Elbow 45° d32 mm blue	Coude 45° d32 mm bleu
BL045P40	Winkel 45° d40 mm blau	Elbow 45° d40 mm blue	Coude 45° d40 mm bleu
BL045P50	Winkel 45° d50 mm blau	Elbow 45° d50 mm blue	Coude 45° d50 mm bleu
BL045P63	Winkel 45° d63 mm blau	Elbow 45° d63 mm blue	Coude 45° d63 mm bleu
BL045P75	Winkel 45° d75 mm blau	Elbow 45° d75 mm blue	Coude 45° d75 mm bleu
BL0906GP321	Winkel 90° IG d32-1" blau Hexa 6-Kant	Elbow 90° "f" d32-1" blue Hexa	Coude 90° (filetage femelle Hexa) d32-1" bleu
BL090GP2012	Winkel 90° IG d20-1/2" blau	Elbow 90° "f" d20-1/2" blue	Coude 90° (filetage femelle) d20-1/2" bleu
BL090GP2512	Winkel 90° IG d25-1/2" blau	Elbow 90° "f" d25-1/2" blue	Coude 90° (filetage femelle) d25-1/2" bleu
BL090GP2534	Winkel 90° IG d25-3/4" blau	Elbow 90° "f" d25-3/4" blue	Coude 90° (filetage femelle) d25-3/4" bleu
BL090GP321	Winkel 90° IG d32-1" blau	Elbow 90° "f" d32-1" blue	Coude 90° (filetage femelle) d32-1" bleu
BL090P110	Winkel 90° d110 blau	Elbow 90° d110 mm blue	Coude 90° d110 mm bleu
BL090P20	Winkel 90° d20 mm blau	Elbow 90° d20 mm blue	Coude 90° d20 mm bleu
BL090P25	Winkel 90° d25 mm blau	Elbow 90° d25 mm blue	Coude 90° d25 mm bleu
BL090P32	Winkel 90° d32 mm blau	Elbow 90° d32 mm blue	Coude 90° d32 mm bleu
BL090P40	Winkel 90° d40 mm blau	Elbow 90° d40 mm blue	Coude 90° d40 mm bleu
BL090P50	Winkel 90° d50 mm blau	Elbow 90° d50 mm blue	Coude 90° d50 mm bleu
BL090P63	Winkel 90° d63 mm blau	Elbow 90° d63 mm blue	Coude 90° d63 mm bleu
BL090P75	Winkel 90° d75 mm blau	Elbow 90° d75 mm blue	Coude 90° d75 mm bleu
BL090P90	Winkel 90° d90 mm blau	Elbow 90° d90 mm blue	Coude 90° d90 mm bleu
BL091P20	Winkel 90° I/A d20 mm blau	Elbow 90° m/f d20 mm blue	Coude 90° (femelle/mâle) d20 mm bleu
BL092GP2012	Winkel 90° AG d20-1/2" blau	Elbow 90° "m" d20-1/2" blue	Coude 90° (filetage mâle) d20-1/2" bleu
BL092GP2512	Winkel 90° AG d25-1/2" blau	Elbow 90° "m" d25-1/2" blue	Coude 90° (filetage mâle) d25-1/2" bleu
BL130GP2012	T-Stück 90° IG d20-1/2" blau	Tee 90° "f" d20-1/2" blue	Té 90° (filetage femelle) d20-1/2" bleu
BL130GP2512	T-Stück 90° IG d25-1/2" blau	Tee 90° "f" d25-1/2" blue	Té 90° (filetage femelle) d25-1/2" bleu
BL130GP2534	T-Stück 90° IG d25-3/4" blau	Tee 90° "f" d25-3/4" blue	Té 90° (filetage femelle) d25-3/4" bleu
BL130GP3234	T-Stück 90° IG d32-3/4" blau	Tee "f" d32-3" blue	Té 90° (filetage femelle) d32-3/4" bleu
BL130P11063	T-Stück red. d110-63 mm blau	Reducing tee d110-63 mm blue	Té réduit d110-63 mm bleu
BL130P20	T-Stück d20 mm blau	Tee d20 mm blue	Té d20 mm bleu
BL130P25	T-Stück d25 mm blau	Tee d25 mm blue	Té d25 mm bleu
BL130P2520	T-Stück red. d25-20 mm blau	Reducing tee d25-20 mm blue	Té réduit d25-20 mm bleu
BL130P32	T-Stück d32 mm blau	Tee d32 mm blue	Té d32 mm bleu
BL130P3220	T-Stück red. d32-20 mm blau	Reducing tee d32-20 mm blue	Té réduit d32-20 mm bleu
BL130P3225	T-Stück red. d32-25 mm blau	Reducing tee d32-25 mm blue	Té réduit d32-25 mm bleu
BL130P40	T-Stück d40 mm blau	Tee d40 mm blue	Té d40 mm bleu
BL130P4020	T-Stück red. d40-20 mm blau	Reducing tee d40-20 mm blue	Té réduit d40-20 mm bleu
BL130P4025	T-Stück red. d40-25 mm blau	Reducing tee d40-25 mm blue	Té réduit d40-25 mm bleu
BL130P4032	T-Stück red. d40-32 mm blau	Reducing tee d40-32 mm blue	Té réduit d40-32 mm bleu
BL130P50	T-Stück d50 mm blau	Tee d50 mm blue	Té d50 mm bleu
BL130P5020	T-Stück red. d50-20 mm blau	Reducing tee d50-20 mm blue	Té réduit d50-20 mm bleu
BL130P5025	T-Stück red. d50-25 mm blau	Reducing tee d50-25 mm blue	Té réduit d50-25 mm bleu
BL130P5032	T-Stück red. d50-32 mm blau	Reducing tee d50-32 mm blue	Té réduit d50-32 mm bleu
BL130P5040	T-Stück red. d50-40 mm blau	Reducing tee d50-40 mm blue	Té réduit d50-40 mm bleu
BL130P63	T-Stück d63 mm blau	Tee d63 mm blue	Té d63 mm bleu
BL130P6320	T-Stück red. d63-20 mm blau	Reducing tee d63-20 mm blue	Té réduit d63-20 mm bleu
BL130P6325	T-Stück red. d63-25 mm blau	Reducing tee d63-25 mm blue	Té réduit d63-25 mm bleu
BL130P6332	T-Stück red. d63-32 mm blau	Reducing tee d63-32 mm blue	Té réduit d63-32 mm bleu
BL130P6340	T-Stück red. d63-40 mm blau	Reducing tee d63-40 mm blue	Té réduit d63-40 mm bleu
BL130P6350	T-Stück red. d63-5 mm blau	Reducing tee d63-50 mm blue	Té réduit d63-50 mm bleu
BL130P75	T-Stück d75 mm blau	Tee d75 mm blue	Té d75 mm bleu
BL130P7563	T-Stück red. d75-63 mm blau	Reducing tee d75-63 mm blue	Té réduit d75-63 mm bleu
BL130P90	T-Stück d90 mm blau	Tee d90 mm blue	Té d90 mm bleu
BL130P9063	T-Stück red. d90-63 mm blau	Reducing tee d90-63 mm blue	Té réduit d90-63 mm bleu
BL130P9075	T-Stück red. d90-75 mm blau	Reducing tee d90-75 mm blue	Té réduit d90-75 mm bleu
BL133GP2512	T-Stück 90° AG d25-1/2 blau	Tee 90° "m" d25-1/2" blue	Té 90° (filetage mâle) d25-1/2" bleu
BL180P25	Kreuz d25 mm blau	Cross d25 mm blue	Croix d25 mm bleu
BL2436GP321	Übergangs-Gewinde-Muffe AG d32-1" blau Hexa 6-Kant	Adaptor socket "m" d32-1" blue Hexa	Manchon adaptateur (filetage mâle Hexa) d32-1" bleu
BL2436GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4" blau Hexa 6-Kant	Adaptor socket "m" d40-1 1/4" blue Hexa	Manchon adaptateur (filetage mâle Hexa) d40-1 1/4" bleu
BL2436GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2" blau Hexa 6-Kant	Adaptor socket "m" d50-1 1/2" blue Hexa	Manchon adaptateur (filetage mâle Hexa) d50-1 1/2" bleu
BL2436GP632	Übergangs-Gewinde-Muffe AG d63-2" blau Hexa 6-Kant	Adaptor socket "m" d63-2" blue Hexa	Manchon adaptateur (filetage mâle Hexa) d63-2" bleu
BL243GP2012	Übergangs-Gewinde-Muffe AG d20-1/2" blau	Adaptor socket "m" d20-1/2" blue	Manchon adaptateur (filetage mâle) d20-1/2" bleu
BL243GP2034	Übergangs-Gewinde-Muffe AG d20-3/4" blau	Adaptor socket "m" d20-3/4" blue	Manchon adaptateur (filetage mâle) d20-3/4" bleu
BL243GP2512	Übergangs-Gewinde-Muffe AG d25-1/2" blau	Adaptor socket "m" d25-1/2" blue	Manchon adaptateur (filetage mâle) d25-1/2" bleu
BL243GP2534	Übergangs-Gewinde-Muffe AG d25-3/4" blau	Adaptor socket "m" d25-3/4" blue	Manchon adaptateur (filetage mâle) d25-3/4" bleu
BL243GP321	Übergangs-Gewinde-Muffe AG d32-1" blau	Adaptor socket "m" d32-1" blue	Manchon adaptateur (filetage mâle) d32-1" bleu
BL243GP3234	Übergangs-Gewinde-Muffe AG d32-3/4" blau	Adaptor socket "m" d32-3/4" blue	Manchon adaptateur (filetage mâle) d32-3/4" bleu
BL243GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4" blau	Adaptor socket "m" d40-1 1/4" blue	Manchon adaptateur (filetage mâle) d40-1 1/4" bleu
BL243GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2" blau	Adaptor socket "m" d50-1 1/2" blue	Manchon adaptateur (filetage mâle) d50-1 1/2" bleu
BL243GP632	Übergangs-Gewinde-Muffe AG d63-2" blau	Adaptor socket "m" d63-2 blue	Manchon adaptateur (filetage mâle) d63-2 bleu
BL243P2520	Reduktion d25-20 mm blau	Reducing bush d25-20 mm blue	Réduction d25-20 mm bleu
BL243P3220	Reduktion d32-20 mm blau	Reducing bush d32-20 mm blue	Réduction d32-20 mm bleu
BL243P3225	Reduktion d32-25 mm blau	Reducing bush d32-25 mm blue	Réduction d32-25 mm bleu
BL243P4020	Reduktion d40-20 mm blau	Reducing bush d40-20 mm blue	Réduction d40-20 mm bleu
BL243P4025	Reduktion d40-25 mm blau	Reducing bush d40-25 mm blue	Réduction d40-25 mm bleu
BL243P4032	Reduktion d40-32 mm blau	Reducing bush d40-32 mm blue	Réduction d40-32 mm bleu
BL243P5020	Reduktion d50-20 mm blau	Reducing bush d50-20 mm blue	Réduction d50-20 mm bleu
BL243P5025	Reduktion d50-25 mm blau	Reducing bush d50-25 mm blue	Réduction d50-25 mm bleu
BL243P5032	Reduktion d50-32 mm blau	Reducing bush d50-32 mm blue	Réduction d50-32 mm bleu
BL243P5040	Reduktion d50-40 mm blau	Reducing bush d50-40 mm blue	Réduction d50-40 mm bleu
BL243P6320	Reduktion d63-20 mm blau	Reducing bush d63-20 mm blue	Réduction d63-20 mm bleu
BL243P6325	Reduktion d63-25 mm blau	Reducing bush d63-25 mm blue	Réduction d63-25 mm bleu
BL243P6332	Reduktion d63-32 mm blau	Reducing bush d63-32 mm blue	Réduction d63-32 mm bleu
BL243P6340	Reduktion d63-40 mm blau	Reducing bush d63-40 mm blue	Réduction d63-40 mm bleu
BL243P6350	Reduktion d63-50 mm blau	Reducing bush d63-50 mm blue	Réduction d63-50 mm bleu
BL243P7550	Reduktion d75-50 mm blau	Reducer d75-50 mm blue	Réduction d75-50 mm bleu
BL243P7563	Reduktion d75-63 mm blau	Reducer d75-63 mm blue	Réduction d75-63 mm bleu
BL2706GP321	Übergangs-Gewinde-Muffe IG d32-1" blau Hexa 6-Kant	Adaptor socket "f" d32-1" blue Hexa	Manchon adaptateur (filetage femelle Hexa) d32-1" bleu
BL2706GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" blau Hexa 6-Kant	Adaptor socket "f" d40-1 1/4" blue Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1 1/4" bleu
BL2706GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" blau Hexa 6-Kant	Adaptor socket "f" d50-1 1/2" blue Hexa	Manchon adaptateur (filetage femelle Hexa) d50-1 1/2" bleu
BL2706GP632	Übergangs-Gewinde-Muffe IG d63-2" blau Hexa 6-Kant	Adaptor socket "f" d63-2" blue Hexa	Manchon adaptateur (filetage femelle Hexa) d63-2" bleu
BL270GP2012	Übergangs-Gewinde-Muffe IG d20-1/2" blau	Adaptor socket "f" d20-1/2" blue	Manchon adaptateur (filetage femelle) d20-1/2" bleu
BL270GP2512	Übergangs-Gewinde-Muffe IG d25-1/2" blau	Adaptor socket "f" d25-1/2" blue	Manchon adaptateur (filetage femelle) d25-1/2" bleu
BL270GP2534	Übergangs-Gewinde-Muffe IG d25-3/4" blau	Adaptor socket "f" d25-3/4" blue	Manchon adaptateur (filetage femelle) d25-3/4" bleu
BL270GP321	Übergangs-Gewinde-Muffe IG d32-1" blau	Adaptor socket "f" d32-1" blue	Manchon adaptateur (filetage femelle) d32-1" bleu
BL270GP3234	Übergangs-Gewinde-Muffe IG d32-3/4" blau	Adaptor socket "f" d32-3/4" blue	Manchon adaptateur (filetage femelle) d32-3/4" bleu
BL270GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" blau	Adaptor socket "f" d40-1 1/4" blue	Manchon adaptateur (filetage femelle) d40-1 1/4" bleu
BL270GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" blau	Adaptor socket "f" d50-1 1/2" blue	Manchon adaptateur (filetage femelle) d50-1 1/2" bleu
BL270GP632	Übergangs-Gewinde-Muffe IG d63-2" blau	Adaptor socket "f" d63-2" blue	Manchon adaptateur (filetage femelle) d63-2" bleu
BL270P20	Muffe d20 mm blau	Socket d20 mm blue	Manchon d20 mm bleu
BL270P25	Muffe d25 mm blau	Socket d25 mm blue	Manchon d25 mm bleu
BL270P32	Muffe d32 mm blau	Socket d32 mm blue	Manchon d32 mm bleu
BL270P40	Muffe d40 mm blau	Socket d40 mm blue	Manchon d40 mm bleu
BL270P50	Muffe d50 mm blau	Socket d50 mm blue	Manchon d50 mm bleu
BL270P63	Muffe d63 mm blau	Socket d63 mm blue	Manchon d63 mm bleu
BL270P75	Muffe d75 mm blau	Socket d75 mm blue	Manchon d75 mm bleu
BL270P90	Muffe d90 mm blau	Socket d90 mm blue	Manchon d90 mm bleu
BL271P125	Elektro-Schweißmuffe d125 mm blau	Electrofusion socket d125 mm blue	Raccord électrofusion d125 mm bleu
BL287P20	Überspringbogen d20 mm blau	Cross over d20 mm blue	Raccord transversal d20 mm bleu
BL287P25	Überspringbogen d25 mm blau	Cross over d25 mm blue	Raccord transversal d25 mm bleu
BL287P32	Überspringbogen d32 mm blau	Cross over d32 mm blue	Raccord transversal d32 mm bleu
BL301P110	Kappe d110 mm blau	Cap d110 mm blue	Bouchon d110 mm bleu
BL301P20	Kappe d20 mm blau	Cap d20 mm blue	Bouchon d20 mm bleu
BL301P25	Kappe d25 mm blau	Cap d25 mm blue	Bouchon d25 mm bleu
BL301P32	Kappe d32 mm blau	Cap d32 mm blue	Bouchon d32 mm bleu
BL301P40	Kappe d40 mm blau	Cap d40 mm blue	Bouchon d40 mm bleu
BL301P50	Kappe d50 mm blau	Cap d50 mm blue	Bouchon d50 mm bleu
BL301P63	Kappe d63 mm blau	Cap d63 mm blue	Bouchon d63 mm bleu
BL472GP2012	Wandscheibe 90° IG d20-1/2" blau	Wall bracket 90° "f" d20-1/2" blue	Coude/Support mural 90° (filetage femelle) d20-1/2" bleu
BL472GP2512	Wandscheibe 90° IG d25-1/2" blau	Wall bracket 90° "f" d25-1/2" blue	Coude/Support mural 90° (filetage femelle) d25-1/2" bleu
BL472GP2534	Winkel/Wandscheibe 90° IG d25-3/4" blau	Wall bracket 90° "f" d25-3/4" blue	Coude/Support mural 90° (filetage femelle) d25-3/4" bleu
BL532P20	Metallverschr. mit PP-R ELT IG d20 mm unvern. blau	Metal union (CW617N) with PP-R socket "f" d20 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d20 mm bleu
BL532P25	Metallverschr. mit PP-R ELT IG d25 mm unvern. blau	Metal union (CW617N) with PP-R socket "f" d25 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d25 mm bleu
BL532P32	Metallverschr. mit PP-R ELT IG d32 mm unvern. blau	Metal union (CW617N) with PP-R socket "f" d32 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d32 mm bleu
BL532P40	Metallverschr. mit PP-R ELT IG d40 mm unvern. blau	Metal union (CW617N) with PP-R socket "f" d40 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d40 mm bleu
BL537P20	Metallverschr. mit PP-R ELT AG d20 mm unvern. blau	Metal union (CW617N) with PP-R socket "m" d20 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d20 mm bleu
BL537P25	Metallverschr. mit PP-R ELT AG d25 mm unvern. blau	Metal union (CW617N) with PP-R socket "m" d25 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d25 mm bleu
BL537P32	Metallverschr. mit PP-R ELT AG d32 mm unvern. blau	Metal union (CW617N) with PP-R socket "m" d32 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d32 mm bleu
BL537P40	Metallverschr. mit PP-R ELT AG d40 mm unvern. blau	Metal union (CW617N) with PP-R socket "m" d40 mm blue	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d40 mm bleu
BL599AP2034	Ventil-Unterteil IG d20-3/4" blau	Tee 90° "f" for internal valve d20-3/4" blue	Té 90° (filetage femelle) pour vanne encastrée d20-3/4" bleu
BL599AP2534	Ventil-Unterteil IG d25-3/4" blau	Tee 90° "f" for internal valve d25-3/4" blue	Té 90° (filetage femelle) pour vanne encastrée d25-3/4" bleu
BL599AP3234	Ventil-Unterteil IG d32-3/4" blau	Tee 90° "f" for internal valve d32-3/4" blue	Té 90° (filetage femelle) pour vanne encastrée d32-3/4" bleu
BL790P110	Bundbuchse d110 mm blau	Flange adaptor d110 mm blue	Raccord à bride d110 mm bleu
CU041P20	Winkel 45° I/A d20 mm curry	Elbow 45° m/f d20 mm curry	Coude 45° (femelle/mâle) d20 mm curry
CU041P25	Winkel 45° I/A d25 mm curry	Elbow 45° m/f d25 mm curry	Coude 45° (femelle/mâle) d25 mm curry
CU045P110	Winkel 45° d110 mm curry	Elbow 45° d110 mm curry	Coude 45° d110 mm curry
CU045P125	Winkel 45° d125 mm curry	Elbow 45° d125 mm curry	Coude 45° d125 mm curry
CU045P20	Winkel 45° d20 mm curry	Elbow 45° d20 mm curry	Coude 45° d20 mm curry
CU045P25	Winkel 45° d25 mm curry	Elbow 45° d25 mm curry	Coude 45° d25 mm curry
CU045P32	Winkel 45° d32 mm curry	Elbow 45° d32 mm curry	Coude 45° d32 mm curry
CU045P40	Winkel 45° d40 mm curry	Elbow 45° d40 mm curry	Coude 45° d40 mm curry
CU045P50	Winkel 45° d50 mm curry	Elbow 45° d50 mm curry	Coude 45° d50 mm curry
CU045P63	Winkel 45° d63 mm curry	Elbow 45° d63 mm curry	Coude 45° d63 mm curry
CU045P75	Winkel 45° d75 mm curry	Elbow 45° d75 mm curry	Coude 45° d20 mm d75 mm curry
CU045P90	Winkel 45° d90 mm curry	Elbow 45° d90 mm curry	Coude 45° d90 mm curry
CU0906GP321	Winkel 90° IG d32-1" curry Hexa 6-Kant	Elbow 90° "f" d32-1" curry Hexa	Coude 90° (filetage femelle Hexa) d32-1" curry
CU090GP2012	Winkel 90° IG d20-1/2" curry	Elbow 90° "f" d20-1/2" curry	Coude 90° (filetage femelle) d20-1/2" curry
CU090GP2512	Winkel 90° IG d25-1/2" curry	Elbow 90° "f" d25-1/2" curry	Coude 90° (filetage femelle) d25-1/2" curry
