artikelnummer	de	en	fr
CU270GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2" curry	Adaptor socket "f" d75-2 1/2" curry	Manchon adaptateur (filetage femelle) d75-2 1/2" curry
CU270GP903	Übergangs-Gewinde-Muffe IG d90-3" curry	Adaptor socket "f" d90-3" curry	Manchon adaptateur (filetage femelle) d90-3" curry
CU270P110	Muffe d110 mm curry	Socket d110 mm curry	Manchon d110 mm curry
CU270P125	Muffe d125 mm	Socket d125 mm curry	Manchon d125 mm curry
CU270P20	Muffe d20 mm curry	Socket d20 mm curry	Manchon d20 mm curry
CU270P25	Muffe d25 mm curry	Socket d25 mm curry	Manchon d25 mm curry
CU270P32	Muffe d32 mm curry	Socket d32 mm curry	Manchon d32 mm curry
CU270P40	Muffe d40 mm curry	Socket d40 mm curry	Manchon d40 mm curry
CU270P50	Muffe d50 mm curry	Socket d50 mm curry	Manchon d50 mm curry
CU270P63	Muffe d63 mm curry	Socket d63 mm curry	Manchon d63 mm curry
CU270P75	Muffe d75 mm curry	Socket d75 mm curry	Manchon d75 mm curry
CU270P90	Muffe d90 mm curry	Socket d90 mm curry	Manchon d90 mm curry
CU287P20	Überspringbogen d20 mm curry	Cross over d20 mm curry	Raccord transversal d20 mm curry
CU287P25	Überspringbogen d25 mm curry	Cross over d25 mm curry	Raccord transversal d25 mm curry
CU287P32	Überspringbogen d32 mm curry	Cross over d32 mm curry	Raccord transversal d32 mm curry
CU301P110	Kappe d110 mm curry	Cap d110 mm curry	Bouchon d110 mm curry
CU301P20	Kappe d20 mm curry	Cap d20 mm curry	Bouchon d20 mm curry
CU301P25	Kappe d25 mm curry	Cap d25 mm curry	Bouchon d25 mm curry
CU301P32	Kappe d32 mm curry	Cap d32 mm curry	Bouchon d32 mm curry
CU301P40	Kappe d40 mm curry	Cap d40 mm curry	Bouchon d40 mm curry
CU301P50	Kappe d50 mm curry	Cap d50 mm curry	Bouchon d50 mm curry
CU301P63	Kappe d63 mm curry	Cap d63 mm curry	Bouchon d63 mm curry
CU301P75	Kappe d75 mm curry	Cap d75 mm curry	Bouchon d75 mm curry
CU301P90	Kappe d90 mm curry	Cap d90 mm curry	Bouchon d90 mm curry
CU330AP20	Verschraubung d20 mm PP curry	Union d20 mm PP curry	Raccord union d20 mm PP curry
CU330AP25	Verschraubung d25 mm PP curry	Union d25 mm PP curry	Raccord union d25 mm PP curry
CU330AP32	Verschraubung d32 mm PP curry	Union d32 mm PP curry	Raccord union d32 mm PP curry
CU472GP2012	Wandscheibe 90° IG d20-1/2 curry	Wall bracket 90° "f" d20-1/2" curry	Coude/Support mural 90° (filetage femelle) d20-1/2" curry
CU472GP2512	Wandscheibe 90° IG d25-1/2 curry	Wall bracket 90° "f" d25-1/2" curry	Coude/Support mural 90° (filetage femelle) d25-1/2" curry
CU472GP2534	Winkel/Wandscheibe 90° IG d25-3/4 curry	Wall bracket 90° "f" d25-3/4" curry	Coude/Support mural 90° (filetage femelle) d25-3/4" curry
CU472GP3234	Winkel/Wandscheibe 90° IG d32-3/4 curry	Wall bracket 90° "f" d32-3/4" curry	Coude/Support mural 90° (filetage femelle) d32-3/4" curry
CU490GP2012	Montageeinheit PP-R IG d20-1/2 curry	Wall plate PP-R "f" d20-1/2" curry	Applique murale PP-R (filetage femelle) d20-1/2" curry
CU490GP2512	Montageeinheit PP-R IG d25-1/2 curry	Wall plate PP-R "f" d25-1/2" curry	Applique murale PP-R (filetage femelle) d25-1/2" curry
CU532P20	Metallverschr. m. PP-R ELT IG d20 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d20 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d20 mm curry
CU532P25	Metallverschr. m. PP-R ELT IG d25 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d25 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d25 mm curry
CU532P32	Metallverschr. m. PP-R ELT IG d32 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d32 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d32 mm curry
CU532P40	Metallverschr. m. PP-R ELT IG d40 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d40 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d40 mm curry
CU532P50	Metallverschr. m. PP-R ELT IG d50 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d50 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d50 mm ncurry
CU532P63	Metallverschr. m. PP-R ELT IG d63 mm unvern. curry	Metal union (CW617N) with PP-R socket "f" d63 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d63 mm curry
CU537P20	Metallverschr. m. PP-R ELT AG d20 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d20 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d20 mm curry
CU537P25	Metallverschr. m. PP-R ELT AG d25 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d25 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d25 mm curry
CU537P32	Metallverschr. m. PP-R ELT AG d32 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d32 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d32 mm curry
CU537P40	Metallverschr. m. PP-R ELT AG d40 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d40 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d40 mm curry
CU537P50	Metallverschr. m. PP-R ELT AG d50 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d50 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d50 mm ncurry
CU537P63	Metallverschr. m. PP-R ELT AG d63 mm unvern. curry	Metal union (CW617N) with PP-R socket "m" d63 mm curry	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d63 mm curry
CU593P11	Reparaturstopfen d11 mm curry	Repair plug d11 mm curry	Bouchon de réparation d11 mm curry
CU593P7	Reparaturstopfen d7 mm curry	Repair plug d7 mm curry	Bouchon de réparation d7 mm curry
CU599AP2034	Ventil-Unterteil IG d20-3/4" curry	Tee 90° "f" for internal valve d20-3/4" curry	Té 90° (filetage femelle) pour vanne encastrée d20-3/4" curry
CU599AP2534	Ventil-Unterteil IG d25-3/4" curry	Tee 90° "f" for internal valve d25-3/4" curry	Té 90° (filetage femelle) pour vanne encastrée d25-3/4" curry
CU599AP3234	Ventil-Unterteil IG d32-3/4 curry	Tee 90° "f" for internal valve d32-3/4" curry	Té 90° (filetage femelle) pour vanne encastrée d32-3/4" curry
CU790P110	Bundbuchse d110 mm curry	Flange adaptor d110 mm curry	Raccord à bride d110 mm curry
CU790P63	Bundbuchse d63 mm curry	Flange adaptor d63 mm curry	Collet à bride d63 mm curry
CU790P75	Bundbuchse d75 mm curry	Flange adaptor d75 mm curry	Raccord à bride d75 mm curry
CU790P90	Bundbuchse d90 mm curry	Flange adaptor d90 mm curry	Raccord à bride d90 mm curry
MO045P20	Winkel 45° d20 mm  Mocca	Elbow 45° d20 mm  Mocca	Coude 45° d20 mm Mocca
MO045P25	Winkel 45° d25 mm  Mocca	Elbow 45° d25 mm Mocca	Coude 45° d25 mm Mocca
MO045P32	Winkel 45° d32 mm  Mocca	Elbow 45° d32 mm  Mocca	Coude 45° d32 mm Mocca
MO045P40	Winkel 45° d40 mm  Mocca	Elbow 45° d40 mm  Mocca	Coude 45° d20 mm d40 mm Mocca
